11220 passieren, passiere, passiert, passierte, passierte, passiere, passiert, haben, passiert
11198 sitzen, sitze, sitzt, saß, säße, sitz, sitzt, haben, gesessen
11165 kümmern, kümmere, kümmert, kümmerte, kümmerte, kümmere, kümmert, haben, gekümmert
10949 schauen, schaue, schaut, schaute, schaute, schaue, schaut, haben, geschaut
10695 schreiben, schreibe, schreibt, schrieb, schriebe, schreibe, schreibt, haben, geschrieben
10587 vorstellen, stelle vor, stellt vor, stellte vor, stellte vor, stell vor, stellt vor, haben, vorgestellt
10524 tragen, trage, trägt, trug, trüge, trag, tragt, haben, getragen
10333 kämpfen, kämpfe, kämpft, kämpfte, kämpfte, kämpf, kämpft, haben, gekämpft
10313 fühlen, fühle, fühlt, fühlte, fühlte, fühl, fühlt, haben, gefühlt
10237 ändern, ändere, ändert, änderte, änderte, ändere, ändert, haben, geändert
10217 fliegen, fliege, fliegt, flog, flöge, flieg, fliegt, sein, geflogen
10114 schicken, schicke, schickt, schickte, schickte, schick, schickt, haben, geschickt
10038 umbringen, bringe um, bringt um, brachte um, brächte um, bring um, bringt um, haben, umgebracht
10029 anrufen, rufe an, ruft an, rief an, riefe an, ruf an, ruft an, haben, angerufen
9927 heißen, heiße, heißt, hieß, hieße, heiß, heißt, haben, geheißen
9915 lachen, lache, lacht, lachte, lachte, lache, lacht, haben, gelacht
9897 führen, führe, führt, führte, führte, führe, führt, haben, geführt
9874 geschehen, —, geschieht, geschah, geschähe, —, —, sein, geschehen
9844 erfahren, erfahre, erfährt, erfuhr, erführe, erfahr, erfahrt, haben, erfahren
9605 mögen, mag, mag, mochte, möchte, —, —, haben, gemocht
9604 fallen, falle, fällt, fiel, fiele, falle, fallt, sein, gefallen
9533 lesen, lese, liest, las, läse, lies, lest, haben, gelesen
9421 folgen, folge, folgt, folgte, folgte, folge, folgt, sein, gefolgt
9188 laden, lade, lädt, lud, lüde, lade, ladet, haben, geladen
9108 behalten, behalte, behält, behielt, behielte, behalte, behaltet, haben, behalten
9095 bitten, bitte, bittet, bat, bäte, bitte, bittet, haben, gebeten
9043 anfangen, fange an, fängt an, fing an, finge an, fang an, fangt an, haben, angefangen
8864 liegen, liege, liegt, lag, läge, lieg, liegt, haben, gelegen
8841 bezahlen, bezahle, bezahlt, bezahlte, bezahlte, bezahle, bezahlt, haben, bezahlt
8704 verkaufen, verkaufe, verkauft, verkaufte, verkaufte, verkauf, verkauft, haben, verkauft
8472 gewinnen, gewinne, gewinnt, gewann, gewönne, gewinn, gewinnt, haben, gewonnen
8161 fangen, fange, fängt, fing, finge, fang, fangt, haben, gefangen
8124 zahlen, zahle, zahlt, zahlte, zahlte, zahle, zahlt, haben, gezahlt
8123 benutzen, benutze, benutzt, benutzte, benutzte, benutze, benutzt, haben, benutzt
8040 legen, lege, legt, legte, legte, lege, legt, haben, gelegt
8026 regeln, regle, regelt, regelte, regelte, regle, regelt, haben, geregelt
7888 schönen, schöne, schönt, schönte, schönte, schöne, schönt, haben, geschönt
7827 tanzen, tanze, tanzt, tanzte, tanzte, tanze, tanzt, haben, getanzt
7720 schießen, schieße, schießt, schoss, schösse, schieß, schießt, haben, geschossen
7649 schlagen, schlage, schlägt, schlug, schlüge, schlag, schlagt, haben, geschlagen
7372 ansehen, sehe an, sieht an, sah an, sähe an, sieh an, seht an, haben, angesehen
7317 herzen, herze, herzt, herzte, herzte, herz, herzt, haben, geherzt
7227 rücken, rücke, rückt, rückte, rückte, rücke, rückt, haben, gerückt
6984 beweisen, beweise, beweist, bewies, bewiese, beweise, beweist, haben, bewiesen
6965 öffnen, öffne, öffnet, öffnete, öffnete, öffne, öffnet, haben, geöffnet
6897 lügen, lüge, lügt, log, löge, lüg, lügt, haben, gelogen
6831 beschützen, beschütze, beschützt, beschützte, beschützte, beschütze, beschützt, haben, beschützt
6828 erreichen, erreiche, erreicht, erreichte, erreichte, erreich, erreicht, haben, erreicht
6823 aussehen, sehe aus, sieht aus, sah aus, sähe aus, sieh aus, seht aus, haben, ausgesehen
6806 erwarten, erwarte, erwartet, erwartete, erwartete, erwarte, erwartet, haben, erwartet
6557 bewegen, bewege, bewegt, bewegte, bewegte, bewege, bewegt, haben, bewegt
6475 verraten, verrate, verrät, verriet, verriete, verrate, verratet, haben, verraten
6357 singen, singe, singt, sang, sänge, singe, singt, haben, gesungen
6140 stecken, stecke, steckt, steckte, steckte, steck, steckt, haben, gesteckt
6051 erhalten, erhalte, erhält, erhielt, erhielte, erhalt, erhaltet, haben, erhalten
6012 gehören, gehöre, gehört, gehörte, gehörte, gehör, gehört, haben, gehört
6003 erledigen, erledige, erledigt, erledigte, erledigte, erledig, erledigt, haben, erledigt
6000 antworten, antworte, antwortet, antwortete, antwortete, antworte, antwortet, haben, geantwortet
5964 verstecken, verstecke, versteckt, versteckte, versteckte, verstecke, versteckt, haben, versteckt
5916 herausfinden, finde heraus, findet heraus, fand heraus, fände heraus, finde heraus, findet heraus, haben, herausgefunden
5913 weihnachten, —, weihnachtet, weihnachtete, weihnachtete, —, —, haben, geweihnachtet
5911 überleben, überlebe, überlebt, überlebte, überlebte, überlebe, überlebt, haben, überlebt
5802 teilen, teile, teilt, teilte, teilte, teile, teilt, haben, geteilt
5769 beginnen, beginne, beginnt, begann, begönne, beginn, beginnt, haben, begonnen
5755 entscheiden, entscheide, entscheidet, entschied, entschiede, entscheide, entscheidet, haben, entschieden
5728 passen, passe, passt, passte, passte, pass, passt, haben, gepasst
5719 vergnügen, vergnüge, vergnügt, vergnügte, vergnügte, vergnüg, vergnügt, haben, vergnügt
5686 aufhalten, halte auf, hält auf, hielt auf, hielte auf, halte auf, haltet auf, haben, aufgehalten
5666 besuchen, besuche, besucht, besuchte, besuchte, besuch, besucht, haben, besucht
5639 werfen, werfe, wirft, warf, würfe, wirf, werft, haben, geworfen
5638 erkennen, erkenne, erkennt, erkannte, erkennte, erkenn, erkennt, haben, erkannt
5603 zerstören, zerstöre, zerstört, zerstörte, zerstörte, zerstöre, zerstört, haben, zerstört
5590 wohnen, wohne, wohnt, wohnte, wohnte, wohne, wohnt, haben, gewohnt
5563 schützen, schütze, schützt, schützte, schützte, schütze, schützt, haben, geschützt
5460 gleichen, gleiche, gleicht, glich, gliche, gleiche, gleicht, haben, geglichen
5418 feiern, feiere, feiert, feierte, feierte, feier, feiert, haben, gefeiert
5381 übernehmen, übernehme, übernimmt, übernahm, übernähme, übernimm, übernehmt, haben, übernommen
5375 mitnehmen, nehme mit, nimmt mit, nahm mit, nähme mit, nimm mit, nehmt mit, haben, mitgenommen
5333 melden, melde, meldet, meldete, meldete, melde, meldet, haben, gemeldet
5293 bedeuten, bedeute, bedeutet, bedeutete, bedeutete, bedeute, bedeutet, haben, bedeutet
5235 verzeihen, verzeihe, verzeiht, verzieh, verziehe, verzeihe, verzeiht, haben,  verziehen
5227 abendessen, —, —, —, —, —, —, haben, abendgegessen
5211 besorgen, besorge, besorgt, besorgte, besorgte, besorge, besorgt, haben, besorgt
5207 drehen, drehe, dreht, drehte, drehte, drehe, dreht, haben, gedreht
5186 schließen, schließe, schließt, schloss, schlösse, schließe, schließt, haben, geschlossen
5136 leisten, leiste, leistet, leistete, leistete, leiste, leistet, haben, geleistet
5126 verbrechen, verbreche, verbricht, verbrach, verbräche, verbrich, verbrecht, haben, verbrochen
5050 stimmen, stimme, stimmt, stimmte, stimmte, stimm, stimmt, haben, gestimmt
5014 danken, danke, dankt, dankte, dankte, dank, dankt, haben, gedankt
4966 fernsehen, sehe fern, sieht fern, sah fern, sähe fern, sieh fern, seht fern, haben, ferngesehen
4943 unternehmen, unternehme, unternimmt, unternahm, unternähme, unternimm, unternehmt, haben, unternommen
4936 beenden, beende, beendet, beendete, beendete, beende, beendet, haben, beendet
4915 dauern, dauere, dauert, dauerte, dauerte, dauere, dauert, haben, gedauert
4873 versprechen, verspreche, verspricht, versprach, verspräche, versprich, versprecht, haben, versprochen
4847 ehren, ehre, ehrt, ehrte, ehrte, ehre, ehrt, haben, geehrt
4835 verdienen, verdiene, verdient, verdiente, verdiente, verdiene, verdient, haben, verdient
4822 hängen, hänge, hängt, hängte, hängte, hänge, hängt, haben, gehängt
4797 rennen, renne, rennt, rannte, rennte, renn, rennt, sein, gerannt
4725 treten, trete, tritt, trat, träte, tritt, tretet, haben, getreten
4722 weinen, weine, weint, weinte, weinte, weine, weint, haben, geweint
4700 schaden, schade, schadet, schadete, schadete, schade, schadet, haben, geschadet
4688 schätzen, schätze, schätzt, schätzte, schätzte, schätze, schätzt, haben, geschätzt
4687 brechen, breche, bricht, brach, bräche, brich, brecht, haben, gebrochen
4668 leiden, leide, leidet, litt, litte, leide, leidet, haben, gelitten
4644 reichen, reiche, reicht, reichte, reichte, reiche, reicht, haben, gereicht
4633 aufpassen, passe auf, passt auf, passte auf, passte auf, pass auf, passt auf, haben, aufgepasst
4622 bauen, baue, baut, baute, baute, baue, baut, haben, gebaut
4575 verbringen, verbringe, verbringt, verbrachte, verbrächte, verbringe, verbringt, haben, verbracht
4573 wünschen, wünsche, wünscht, wünschte, wünschte, wünsche, wünscht, haben, gewünscht
4520 entkommen, entkomme, entkommt, entkam, entkäme, entkomme, entkommt, sein, entkommen
4519 schreien, schreie, schreit, schrie, schrie, schreie, schreit, haben, geschrien
4480 weißen, weiße, weißt, weißte, weißte, weiß, weißt, haben, geweißt
4472 unterhalten, unterhalte, unterhält, unterhielt, unterhielte, unterhalte, unterhaltet, haben, unterhalten
4424 lächeln, lächle, lächelt, lächelte, lächelte, lächle, lächelt, haben, gelächelt
4403 nutzen, nutze, nutzt, nutzte, nutzte, nutze, nutzt, haben, genutzt
